iter	Passed	Remaining
687	7600	41781
688	7611	41770
689	7621	41755
690	7632	41740
691	7642	41724
692	7652	41709
693	7662	41692
694	7673	41677
695	7683	41663
696	7693	41646
697	7703	41631
698	7713	41615
699	7723	41598
700	7734	41586
701	7745	41573
702	7755	41556
703	7765	41540
704	7775	41524
705	7786	41514
706	7797	41504
707	7808	41492
708	7819	41480
709	7829	41464
710	7839	41448
711	7850	41433
712	7861	41423
713	7876	41434
714	7886	41420
715	7897	41404
716	7909	41400
717	7921	41395
718	7933	41389
719	7946	41385
720	7956	41373
721	7967	41361
722	7978	41350
723	7989	41338
724	8000	41326
725	8011	41313
726	8022	41301
727	8032	41290
728	8044	41280
729	8056	41277
730	8069	41272
731	8081	41269
732	8093	41261
733	8103	41248
734	8114	41235
735	8125	41224
736	8135	41209
737	8146	41195
738	8157	41183
739	8168	41172
740	8179	41160
741	8190	41149
742	8201	41140
743	8212	41127
744	8223	41115
745	8234	41104
746	8244	41091
747	8254	41075
748	8265	41062
749	8277	41056
750	8288	41044
751	8298	41028
752	8308	41013
753	8319	41000
754	8329	40985
755	8339	40970
756	8349	40955
757	8360	40943
758	8371	40928
759	8381	40914
760	8391	40898
761	8402	40885
762	8412	40870
763	8422	40855
764	8432	40840
765	8443	40828
766	8453	40814
767	8464	40799
768	8474	40784
769	8484	40771
770	8495	40760
771	8506	40745
772	8516	40730
773	8526	40716
774	8536	40701
775	8547	40690
776	8558	40678
777	8569	40667
778	8580	40655
779	8592	40647
780	8602	40635
781	8613	40622
782	8624	40611
783	8635	40600
784	8646	40587
785	8656	40574
786	8667	40562
787	8677	40547
788	8688	40533
789	8698	40517
790	8708	40504
791	8720	40496
792	8730	40482
793	8740	40466
794	8751	40452
795	8761	40438
796	8773	40431
797	8783	40417
798	8794	40404
799	8805	40393
800	8816	40382
801	8826	40370
802	8837	40356
803	8847	40340
804	8857	40326
805	8868	40315
806	8879	40304
807	8891	40296
808	8902	40285
809	8913	40274
810	8923	40262
811	8934	40251
812	8945	40239
813	8956	40226
814	8966	40213
815	8977	40200
816	8988	40187
817	8999	40177
818	9010	40165
819	9020	40153
820	9031	40142
821	9042	40129
822	9053	40117
823	9063	40104
824	9073	40090
825	9084	40075
826	9094	40060
827	9105	40048
828	9117	40043
829	9128	40033
830	9139	40023
831	9151	40017
832	9163	40007
833	9173	39995
834	9184	39981
835	9194	39967
836	9204	39953
837	9215	39942
838	9226	39931
839	9236	39916
840	9247	39903
841	9258	39893
842	9270	39885
843	9281	39873
844	9291	39858
845	9301	39844
846	9311	39829
847	9322	39817
848	9333	39805
849	9343	39790
850	9353	39778
851	9365	39769
852	9376	39759
853	9387	39748
854	9398	39736
855	9408	39722
856	9418	39708
857	9428	39693
858	9439	39679
859	9450	39668
860	9461	39657
861	9471	39645
862	9482	39634
863	9494	39624
864	9505	39615
865	9516	39603
866	9527	39593
867	9538	39583
868	9550	39573
869	9560	39562
870	9572	39553
871	9583	39544
872	9595	39535
873	9608	39531
874	9619	39523
875	9630	39512
876	9641	39501
877	9652	39491
878	9664	39482
879	9676	39474
880	9687	39465
881	9699	39457
882	9711	39449
883	9723	39442
884	9736	39440
885	9749	39439
886	9762	39435
887	9773	39425
888	9785	39415
889	9796	39406
890	9807	39395
891	9818	39384
892	9830	39377
893	9842	39368
894	9852	39356
895	9863	39345
896	9874	39331
897	9884	39317
898	9894	39302
899	9904	39287
900	9914	39274
901	9925	39261
902	9936	39249
903	9946	39236
904	9957	39223
905	9967	39209
906	9978	39197
907	9988	39183
908	9998	39169
909	10008	39155
910	10019	39142
911	10029	39128
912	10040	39115
913	10050	39102
914	10060	39088
915	10071	39076
916	10082	39063
917	10091	39048
918	10102	39034
919	10112	39020
920	10122	39005
921	10132	38992
922	10142	38978
923	10153	38964
924	10163	38951
925	10174	38940
926	10184	38926
927	10195	38913
928	10205	38900
929	10215	38885
930	10226	38872
931	10236	38858
932	10246	38844
933	10257	38831
934	10267	38817
935	10279	38809
936	10291	38804
937	10303	38797
938	10314	38785
939	10324	38770
940	10335	38759
941	10345	38745
942	10356	38734
943	10367	38724
944	10378	38713
945	10389	38702
946	10399	38689
947	10410	38675
948	10420	38661
949	10430	38649
950	10441	38637
951	10451	38623
952	10461	38609
953	10472	38595
954	10482	38582
955	10492	38568
956	10502	38553
957	10513	38541
958	10523	38527
959	10533	38513
960	10545	38504
961	10555	38491
962	10565	38478
963	10575	38463
964	10585	38448
965	10595	38435
966	10606	38422
967	10617	38409
968	10627	38398
969	10637	38383
970	10648	38370
971	10658	38357
972	10668	38343
973	10678	38329
974	10688	38315
975	10699	38302
